Material;Descripción;Centro;Subcategoría;ABC;Logística;CATMAN;Importe Vendido;Importe Año Anterior;Volumen Vendido;Volumen Año Anterior;Stock
GADU0078;GALLETA GAMESA FLOR DE NARANJO 12/600G;S005;Galleta Dulce Caja;B;CEDIS;Sandra; $3.446,22 ; $1.597,25 ;54;25;10
HACO0026;MASECA 10/1KG;S005;Harinas Regulares;B;CEDIS;Sandra; $1.242,00 ; $1.100,00 ;54;50;26
LEFR0074;LECHE SANTA CLARA CAPUCCINO 190ML;S005;Saborizada Pasteuriz;D;PdC;Santiago; $648,00 ; $462,00 ;54;44;5
TOST0017;TOSTADA EL PUENTE CHICA 20PZ;S005;Tostada;B;PdC;Santiago; $972,00 ; $2.448,00 ;54;144;29
TOST0026;TOSTADA EL MESON DE LOS MUÑIZ NOPAL 24PZ;S005;Tostada;C;PdC;Santiago; $1.701,00 ; $1.044,00 ;54;36;6
ADCO0007;SALSA CATSUP CLEMENTE J. 24/340G;S005;Cátsup;C;CEDIS;Sandra; $954,00 ; $833,00 ;53;49;18
ADCO0017;CONSOMATE MAGGI 8 CUBOS 24/88G;S005;Consomés y Caldos;C;CEDIS;Sandra; $926,97 ; $1.485,00 ;53;90;33
ALEN0013;ATÚN EL DORADO ACEITE 48/130G;S005;Pesca y Marisc Env.;C;CEDIS;Sandra; $795,00 ; $238,00 ;53;17;64
CARN0288;COSTILLA SIN HUESO DE RES 800G;S005;Carne de Res;A;CEDIS;Alma; $7.061,05 ; $5.079,60 ;53;50;16
CARN0306;CHULETON BISTEC DE RES 800G;S005;Carne de Res;A;CEDIS;Alma; $7.874,40 ; $6.688,44 ;53;53;6
CARN0354;FAJITAS DE FILETE 16/400G;S005;Carne de Cerdo;N;PdC;Alma; $2.695,35 ; $-   ;53;0;23
CARN0371;LOMO ENTERO DE CERDO 800G;S005;Carne de Cerdo;A;PdC;Alma; $5.011,20 ; $6.302,10 ;53;69;22
CRSP0031;PASTA LA MODERNA CARACOL 2 20/200G;S005;Pastas para Sopa;C;CEDIS;Sandra; $530,00 ; $731,50 ;53;77;23
FFAL0138;ARROZ POBLANO FOGON VEVITA 300G;S005;Procesados Proveedor;C;PdC;Santiago; $2.120,00 ; $1.543,50 ;53;49;22
FRIT0135;PAPAS PRINGLES SABOR QUESO 12/40G;S005;Papas fritas;C;CEDIS;Sandra; $932,34 ; $783,39 ;53;47;20
FRVE0168;BROCOLI Y ZANAHORIA MR. LUCKY 14/454G;S005;Verduras;C;CEDIS;Sebastián; $1.659,00 ; $900,00 ;53;30;10
FRVE0172;ESPINACA MR. LUCKY POPEYE BABY 12/227G;S005;Verduras;C;PdC;Sebastián; $2.900,00 ; $1.378,00 ;53;26;3
GASE0043;CHILE ANCHO SECO MI VILLA PZ;S005;Chiles Secos;C;PdC;Santiago; $795,00 ; $575,00 ;53;46;9
HELA0001;HELADO BOLONIA PALETA 3 CHOCOLAT 25/80ML;S005;Paletas;C;PdC;Santiago; $1.462,00 ; $506,00 ;53;22;21
JATO0024;JABON LIRIO NEUTRO 100/100G;S005;Jabones de tocador e;C;CEDIS;Sandra; $594,01 ; $-   ;53;0;85
LADE0114;QUESO SANTA FE RANCHERO 250G;S005;Quesos;B;PdC;Santiago; $2.305,50 ; $3.120,00 ;53;78;2
AGPU0002;AGUA CIEL 12/1LT;S005;Agua sin Sabor;C;PdC;Santiago; $780,00 ; $345,00 ;52;30;69
CAFR0213;CHICHARRON MAXIM PRENSADO 1KG;S005;Otras Carnes Frías;B;PdC;Alma; $8.268,00 ; $4.134,00 ;52;26;29
CERV0007;BEBIDA ARIZONA SANDIA 24/680ML;S005;Te LPB Personal;C;CEDIS;Sandra; $1.040,00 ; $1.040,00 ;52;52;18
CHGO0128;CHOCOLATE VUALA SWICH ROLL 9/16/32G;S005;Chocolate Golosina;B;CEDIS;Sandra; $336,40 ; $1.866,30 ;52;288;142
DETR0027;LAVATRASTES LIQ AXION BICAR/LIMO 6/1.4LT;S005;Detergente Trastes L;C;CEDIS;Sandra; $2.196,49 ; $1.556,97 ;52;33;19
FFAL0155;FRIJOLES FOGON DE VEVITA FRITOS 560G;S005;Procesados Proveedor;C;PdC;Santiago; $1.872,00 ; $1.855,00 ;52;53;17
FRIT0010;PAPAS BARCEL CHIPS SABOR JALAPEÑO 62G;S005;Papas fritas;D;PdC;Santiago; $963,04 ; $-   ;52;0;23
FRVE0125;ENSALADA MR. LUCKY ITALIANA 12/284G;S005;Verduras;C;PdC;Sebastián; $1.606,00 ; $1.564,00 ;52;55;3
GADU0215;GALLETA NABISCO RITZ SALADA 6/89G;S005;Galleta Salada;C;PdC;Santiago; $624,00 ; $252,00 ;52;28;90
JUGU0164;JUGO VIGOR NECTAR DURAZNO 24/200ML;S005;Jugo y Nec Infantil;D;CEDIS;Sandra; $389,10 ; $112,50 ;52;15;31
JUNE0075;JUGO PAUPAU MANZANA 24/250ML;S005;Jugo y Nec Infantil;D;CEDIS;Sandra; $311,82 ; $246,00 ;52;41;10
LADE0087;MANTEQUILLA GLORIA SIN SAL 60/90G;S005;Mantequillas y marga;C;PdC;Santiago; $1.248,00 ; $1.584,00 ;52;66;0
LEFR0009;MALTEADA  ALPURA CHOCOLATE 27/250ML;S005;Saborizada Pasteuriz;D;PdC;Santiago; $613,00 ; $361,00 ;52;38;30
SERV0032;SERVILLETAS VELVET 24/220 PZ;S005;Servilletas;C;CEDIS;Sandra; $1.142,97 ; $827,60 ;52;40;33
SUTE0046;ACON DE TELA SUAVITEL COM F/PRIM 12/700M;S005;Suavizante Tradicion;C;CEDIS;Sandra; $1.210,49 ; $768,23 ;52;33;39
SUTE0050;SUAVI DE TELA ENSUEÑO MAX F/PRIMAV 12/1L;S005;Suavizante Tradicion;D;CEDIS;Sandra; $1.210,44 ; $993,12 ;52;48;1
CASE0009;CACAHUATE BARCEL KIYAKIS 68G;S005;Mezcla cacah/semilla;D;PdC;Santiago; $495,74 ; $18,52 ;51;2;1
CERV0005;BEBIDA ARIZONA KIWI /FRESA 24/680ML;S005;Te LPB Personal;C;CEDIS;Sandra; $1.020,00 ; $1.040,00 ;51;52;22
CONG0080;SURIMI CAPITAN 500G;S005;Pescados y Mariscos;C;PdC;Alma; $4.335,00 ; $4.420,00 ;51;52;15
FFAL0172;CARNE AL PASTOR ALMACENES DON K 400G;S005;Procesados Proveedor;B;PdC;Santiago; $6.222,00 ; $3.155,10 ;51;30;2
FRIT0044;DURO DE CERDO EL CHARRO GRANDE 130G;S005;Pellet Chicharrón de;C;PdC;Santiago; $2.448,00 ; $1.107,00 ;51;27;9
FRVE0124;ENSALADA MR. LUCKY MIXTA 12/454G;S005;Verduras;C;CEDIS;Sebastián; $1.313,50 ; $1.509,00 ;51;57;3
LADE0015;CREMA SELLO ROJO 200G;S005;Cremas;C;PdC;Santiago; $969,00 ; $459,00 ;51;27;2
LIMP0076;LIMPIADOR FABULOSO LAVANDA 12/1LT;S005;Limpiadores de pisos;B;CEDIS;Sandra; $1.385,09 ; $1.233,79 ;51;53;10
PAEM0018;PAN DULCE BIMBO DONAS ESPOLVOREADAS 140G;S005;Pan en Barra;C;PdC;Santiago; $1.038,87 ; $1.224,86 ;51;63;3
PAEM0032;PAN BIMBO OROWEAT 7 GRANOS 680G;S005;Pan en Barra;B;PdC;Santiago; $3.927,00 ; $3.640,00 ;51;52;4
CONG0046;PAPA GAJO LA HUERTA CONGELADOS KG;S005;Verduras Congeladas;B;PdC;Alma; $4.780,72 ; $2.845,30 ;50;31;7,331
ALMA0055;CROQUETAS PARA PERRO CHOP ADULTO 5/4KG;S005;Alimento para perro;A;PdC;Alma; $6.293,11 ; $6.552,70 ;50;52;10
BERN0031;JUGO JUMEX MANZANA R TETRAPACK 12/960ML;S005;Jugo y Nec Familiar;C;CEDIS;Sandra; $1.250,00 ; $1.425,00 ;50;57;26
CAFR0004;CHORIZO LA CORONA PARA FREIR 200G;S005;Chorizo y longaniza;C;PdC;Alma; $2.350,00 ; $-   ;50;0;15
DEPO0091;DETERGENTE LIQUIDO FOCA PARA ROPA 12/1LT;S005;Detergente Ropa Liqu;C;CEDIS;Sandra; $1.570,65 ; $1.011,18 ;50;40;34
ENCO0026;SERVITOALLA PETALO JUMBO CON 12/230 HD;S005;Servitoallas;C;CEDIS;Sandra; $1.250,00 ; $675,09 ;50;29;13
LEFR0008;LECHE ALPURA LIGHT UHT 12/1LT;S005;Blanca UHT;C;PdC;Santiago; $1.725,00 ; $957,00 ;50;33;5
LEFR0013;LECHE ALPURA CLASICA UHT 12/1LT;S005;Blanca UHT;B;PdC;Santiago; $1.677,00 ; $2.030,00 ;50;70;24
ALEN0064;CHILE JALAPEÑO LA COSTEÑA  ENT 24/380G;S005;Chiles Envasados;C;CEDIS;Sandra; $1.176,00 ; $1.722,00 ;49;82;27
BERN0039;JUGO OCEAN SPRAY ARANDANO 12/1LT;S005;Jugo y Nec Familiar;C;CEDIS;Sandra; $1.396,50 ; $1.681,50 ;49;59;22
FFAL0154;FRIJOLES FOGON DE VEVITA DE OLLA 560G;S005;Procesados Proveedor;C;PdC;Santiago; $2.180,50 ; $1.715,00 ;49;49;18
FRIT0085;BOTANA  SABRITAS PAKETAXO 81G;S005;Mezclas Frituras;C;PdC;Santiago; $1.042,97 ; $415,36 ;49;23;14
LEPC0006;LECHE MEDIA CREMA ALPURA 250ML;S005;Media Crema;C;PdC;Santiago; $860,49 ; $635,50 ;49;41;1
OTGO0109;PASTILLA DULCE TIC TAC S. NARANJA 12/16G;S005;Caramelos;D;PdC;Santiago; $441,00 ; $263,50 ;49;31;22
PAEM0046;PAN DULCE BIMBO REBANADAS 55G;S005;Pan en Barra;C;PdC;Santiago; $453,74 ; $486,04 ;49;75;26
ADCO0223;SALSA PARA PASTA BOLOGNESA HUNTS 24/360G;S005;Moles y Adobos;C;CEDIS;Sandra; $1.319,18 ; $832,00 ;48;32;29
GASE0004;ARROZ ITALRISO 10/900G;S005;Arroz;C;CEDIS;Sandra; $1.271,20 ; $950,00 ;48;38;11
LEFR0038;LECHE SANTA CLARA UHT 6/1LT;S005;Blanca UHT;C;PdC;Santiago; $1.704,00 ; $787,50 ;48;25;19
LEFR0050;LECHE TIKITO SELLO ROJO FRESA 250ML;S005;Saborizada Pasteuriz;D;PdC;Santiago; $528,00 ; $150,00 ;48;15;6
PAEM0003;BARRA MULTIGRANO BIMBO NUEZ 34G;S005;Pan en Barra;D;PdC;Santiago; $533,29 ; $322,19 ;48;29;8
PAEM0013;BARRA BIMBO BRAN-FRUT RELLENO FRESA 48G;S005;Pan en Barra;C;PdC;Santiago; $533,28 ; $388,85 ;48;35;2
PONR0012;GELATINA EN POLVO DGARI LIMON 50/120G;S005;Gelatinas en Polvo;D;CEDIS;Sandra; $624,00 ; $403,00 ;48;31;26
PONR0034;GELATINA POLVO JELL-O LIGH FRES 4/10/25G;S005;Gelatinas en Polvo;D;CEDIS;Sandra; $672,00 ; $-   ;48;0;17
REFR0052;REFRESCO COCA COLA LATA 24/355ML;S005;Refrescos de Cola;B;PdC;Santiago; $862,13 ; $1.376,82 ;48;88;4
REFR0058;REFRESCO DELAWARE PUNCH SABOR UVA 600ML;S005;Refrescos de Sabores;C;PdC;Santiago; $744,92 ; $356,94 ;48;23;8
CAFR0024;JAMÓN FUD VIRGINIA PAVO 290G;S005;Jamón;B;PdC;Alma; $2.914,00 ; $1.696,00 ;47;32;27
CHGO0055;CHOCOLATE KINDER BUENO 10/43G;S005;Chocolate Golosina;B;PdC;Santiago; $1.001,07 ; $1.018,50 ;47;50;34
CHGO0084;CHOCOLATE RICOLINO BUBULUBU 15/35G;S005;Chocolate Golosina;D;PdC;Santiago; $456,88 ; $703,75 ;47;76;44
CHGO0177;CHOCOLATE BOCADIN 12/50/10.5G;S005;Chocolate Golosina;C;CEDIS;Sandra; $87,01 ; $-   ;47;0;68
FRIT0091;PAPAS SABRITAS CRUJIENTES FLAMIN HOT 49G;S005;Papas fritas;C;PdC;Santiago; $826,78 ; $683,42 ;47;41;5
GADU0131;GALLETA MARINELA BARRITAS PÍÑA 335G;S005;Galleta Dulce Caja;B;PdC;Santiago; $1.652,84 ; $7.702,40 ;47;320;50
HELA0096;HELADO BOLONIA VAINILLA 1LT;S005;Nieves Lt y .5 lt;C;PdC;Santiago; $2.773,00 ; $1.144,00 ;47;22;1
LEFR0052;LECHE TIKITO SELLO ROJO VAINILLA 250ML;S005;Saborizada Pasteuriz;D;PdC;Santiago; $515,68 ; $190,00 ;47;19;3
MMCA0008;CAJETA EL SAN JUANERO 320G;S005;Cajeta;C;PdC;Santiago; $1.044,36 ; $583,26 ;47;28;8
OTGO0091;DULCE ROLLO SAN JUANERO S. GUAYABA 220G;S005;Dulces tipicos;D;PdC;Santiago; $761,44 ; $137,52 ;47;9;19
PAEM0086;PAN DULCE TIA ROSA CUERNITOS 100G;S005;Pan Seco;C;PdC;Santiago; $739,78 ; $661,08 ;47;42;12
YOBA0049;YOGHURT YOPLAIT GRIEGO NAT 0% AZUCAR 1KG;S005;Yog Batido Light;B;PdC;Alma; $4.817,50 ; $3.822,00 ;47;42;26
YOBE0057;YOGHURT BEBIBLE FRESA 220G;S005;Yog Bebible Regular;C;PdC;Santiago; $705,50 ; $598,00 ;47;46;29
FRVE0097;BETABEL KG;S005;Verduras;D;CEDIS;Sebastián; $1.816,44 ; $954,69 ;47;25;5,68
ALEN0048;ENSALADA VERDURAS LA COSTEÑA 24/410G;S005;Vegetales Envasados;C;CEDIS;Sandra; $920,00 ; $627,00 ;46;34;31
CARN0256;NEW YORK DE RES 300G;S005;Carne de Res;B;PdC;Alma; $3.893,00 ; $3.643,20 ;46;53;16
CERV0018;CERVEZA CLARA CORONA LATA 24/473ML;S005;Cerveza No retornabl;B;PdC;Santiago; $1.031,02 ; $1.487,18 ;46;75;30
COBE0030;BEBIDA ZUKO PIÑA COLADA 12/8/15G;S005;Concentrado de Bebid;D;CEDIS;Sandra; $197,61 ; $139,67 ;46;36;12
DEPO0153;DETERGENTE POLVO ARIEL PODER 10/850GR;S005;Detergente Ropa en P;B;CEDIS;Sandra; $1.824,30 ; $1.629,45 ;46;42;17
FRVE0087;ZANAHORIA BABY MR. LUCKY 20/454G;S005;Verduras;C;CEDIS;Sebastián; $2.058,00 ; $2.200,00 ;46;50;10
GADU0047;GALLETA GAMESA CHOKIS 12/285G;S005;Galleta Dulce Caja;C;CEDIS;Sandra; $1.874,04 ; $816,69 ;46;21;18
LEFR0051;LECHE SELLO ROJO TIKITO CHOCOLATE 250ML;S005;Saborizada Pasteuriz;D;PdC;Santiago; $506,00 ; $190,00 ;46;19;5
SUTE0026;ACON DE TELA SUAVITEL FRES PRIM 12/850ML;S005;Suavizante Tradicion;C;CEDIS;Sandra; $1.070,82 ; $488,83 ;46;21;21
ACCO0037;MANTECA DE CERDO AMARA 800G;S005;Manteca;B;CEDIS;Alma; $3.170,39 ; $4.896,00 ;45;72;19
ACCO0055;MANTECA DE CERDO 1KG;S005;Manteca;B;PdC;Alma; $3.262,50 ; $2.070,00 ;45;30;26
ALEN0072;CHILE JALAPEÑO LA COSTEÑA RAJAS 40/105G;S005;Chiles Envasados;D;CEDIS;Sandra; $450,00 ; $446,50 ;45;47;20
CERE0085;CEREAL KELLOGG´S CORN FLAKES 10/410G;S005;Cereal básico;B;CEDIS;Sandra; $2.272,50 ; $2.016,00 ;45;36;16
CIGA0014;CIGARRO MARLBORO GOLD 10/20PZ;S005;Cigarros $ Alto;B;PdC;Santiago; $3.298,02 ; $2.521,74 ;45;39;20
JUNE0062;JUGO JUMEX MANGO NECTAR 24/250ML;S005;Jugo y Nec Infantil;D;CEDIS;Sandra; $495,00 ; $451,00 ;45;41;23
LADE0002;CREMA AL-DIA PASTEURIZADA 450G;S005;Cremas;C;PdC;Santiago; $1.732,50 ; $2.380,00 ;45;70;7
LADE0123;QUESO EL MEZQUITE TIPO AZADERO 1KG;S005;Quesos;B;PdC;Santiago; $5.962,50 ; $12.524,00 ;45;101;7
LADE0133;QUESO PROVIDENCIA PANELA 250G;S005;Quesos;C;PdC;Santiago; $2.475,00 ; $2.793,00 ;45;57;13
LIMP0029;CLORO CLORALEX 12/950ML;S005;Limpiadores Multiuso;C;CEDIS;Sandra; $806,77 ; $1.266,67 ;45;113;65
OTGO0180;COCADA AMARILLA SAN JUANERO 100G;S005;Dulces tipicos;N;NoClas;Santiago; $541,77 ; $-   ;45;0;35
PAEM0191;PAN HAM. BIMBO BIMBOLLO PARRILLERO 780G;S005;Bollería;B;PdC;Santiago; $2.473,35 ; $2.332,00 ;45;44;5
SUTE0005;SUAVIZANTE DE TELA ENSUEÑO BEBE 12/850ML;S005;Suavizante Tradicion;D;CEDIS;Sandra; $950,40 ; $644,89 ;45;34;12
FRVE0055;MANZANA IMPORTADA VERDE GRANNY KG;S005;Frutas;B;CEDIS;Sebastián; $3.612,08 ; $3.369,11 ;44;48;6,845
CAFR0073;SALCHICHA FUD PAVO 500G;S005;Salchicha;B;PdC;Alma; $2.640,00 ; $1.400,00 ;44;25;20
CARN0266;FILETE BISTEC DE RES 300G;S005;Carne de Res;A;CEDIS;Alma; $5.953,00 ; $4.490,52 ;44;45;21
CHIC0013;CHICLE TRIDENT MACRO 40/5.2G;S005;Chicles;D;PdC;Santiago; $113,86 ; $73,32 ;44;34;96
FRIT0159;PAPAS SABRITAS ORIGINAL BOLZAZA 68G;S005;Papas fritas;C;PdC;Santiago; $1.139,32 ; $785,23 ;44;32;11
GASA0016;GALLETA SANISSIMO ARROZ Y QUINOA 8/12G;S005;Galleta Salada;N;NoClas;Santiago; $352,00 ; $-   ;44;0;11
LEFR0042;LECHE SELLO ROJO 3% GRASA 500ML;S005;Blanca pasteurizada;D;PdC;Santiago; $682,00 ; $210,00 ;44;15;7
OTGO0064;MALVAVISCO BIACHI DE LA ROSA 15/400G;S005;Malvaviscos;C;CEDIS;Sandra; $1.628,00 ; $1.925,00 ;44;55;7
OTGO0133;DIULCE MAZAPAN LA ROSA T. GIGA 16/20/50G;S005;Mazapán;C;CEDIS;Sandra; $223,90 ; $277,80 ;44;60;45
PAEM0056;PASTELITO MARINELA CHOCOROLES 80G;S005;Pan en Barra;B;PdC;Santiago; $854,85 ; $888,95 ;44;48;25
PAEM0084;PAN DULCE TIA ROSA BIGOTES DE CHOCO 80G;S005;Pan Seco;C;PdC;Santiago; $611,16 ; $414,77 ;44;32;21
PAEM0186;CROSSANTINE BIMBO CHOCOLATE 32G;S005;Pan Seco;D;PdC;Santiago; $285,14 ; $211,13 ;44;38;0
PONR0026;GELATINA EN POLVO DGARI UVA 50/120G;S005;Gelatinas en Polvo;D;CEDIS;Sandra; $572,00 ; $325,00 ;44;25;35
REFR0124;REFRESCO SEVEN UP 2.5LT;S005;Refrescos de Sabores;C;PdC;Santiago; $1.287,89 ; $1.213,92 ;44;44;13
SERV0023;SERVILLETAS LYS 48/125 PZ;S005;Servilletas;C;CEDIS;Sandra; $625,68 ; $467,60 ;44;35;32
TOST0010;TOSTADA EL CHARRO RANCHERA PZ;S005;Tostada;C;PdC;Santiago; $1.672,00 ; $816,50 ;44;23;9
YOBA0015;YOGHURT YOPLAIT GRIEGO CON FRESA 120G;S005;Yog Batido Regular;D;PdC;Alma; $616,00 ; $756,00 ;44;63;19
YOBA0019;YOGHURT YOPLAIT NATURAL 1KG;S005;Yog Batido Regular;C;PdC;Alma; $2.376,00 ; $-   ;44;0;27
CAFR0081;SALCHICHA ROS VIENA KG;S005;Salchicha;B;PdC;Alma; $3.015,44 ; $2.002,77 ;44;30;20,25
ALMA0021;SOBRE PEDIGREE CACHORRO RES 12/100G;S005;Alimento para perro;D;CEDIS;Sandra; $463,40 ; $786,71 ;43;73;24
CAFR0207;DESHEBRADA MAXIM DE RES 300G;S005;Otras Carnes Frías;B;PdC;Alma; $3.861,00 ; $9.006,00 ;43;79;1
CERV0029;CERVEZA NEGRA MODELO LATA 24/355ML;S005;Cerveza No retornabl;C;PdC;Santiago; $744,40 ; $1.647,34 ;43;114;28
CIGA0023;CIGARRO PALL MALL 10/20PZ;S005;Cigarros $ Bajo;B;CEDIS;Sandra; $2.113,00 ; $2.555,30 ;43;57;19
JATO0007;JABON DOVE 48/90G;S005;Jabones de tocador e;C;CEDIS;Sandra; $834,07 ; $186,21 ;43;9;17
OTGO0123;DULCE ENCHILADO SKWIN S. SANDI 20/12/24G;S005;Gomitas;D;CEDIS;Sandra; $298,49 ; $239,01 ;43;43;22
REFR0156;REFRESCO JARRITOS TAMARINDO 2LT;S005;Refrescos de Sabores;C;PdC;Santiago; $963,67 ; $1.099,09 ;43;51;18
SERV0016;LAVATRASTES LIQUIDO SALVO LIMON 14/300ML;S005;Detergente Trastes L;C;CEDIS;Sandra; $667,36 ; $978,73 ;43;66;28
CARN0332;PARTIDO SABRO POLLO CON PIEL 1.4KG;S005;Carne de Pollo;A;PdC;Alma; $5.185,80 ; $4.179,60 ;42;35;10
CERV0080;CERVEZA CLARA MILLER  BOTELLA 12/940ML;S005;Cerveza No retornabl;B;PdC;Santiago; $1.737,96 ; $2.133,61 ;42;55;0
CIGA0016;CIGARRO MARLBORO RUBY 10/20PZ;S005;Cigarros $ Alto;B;PdC;Santiago; $2.860,20 ; $2.004,45 ;42;31;6
FFAL0152;SALSA MACHA EL COMALITO PZ;S005;Procesados Proveedor;C;PdC;Santiago; $1.556,94 ; $1.241,29 ;42;36;22
FRIT0072;BOTANAS SABRITAS DORITOS FLAMIN HOT 62G;S005;Maíz Frito;C;PdC;Santiago; $738,78 ; $600,09 ;42;36;7
LADE0080;MANTEQUILLA LALA ENTERA 90G;S005;Quesos;B;PdC;Alma; $1.134,00 ; $1.512,00 ;42;63;24
MOLE0014;CHOCOLATE ABUELITA 24/6/90G;S005;Chocolate de mesa;A;CEDIS;Sandra; $680,51 ; $842,55 ;42;65;56
SERV0017;LAVATRASTES LIQUIDO SALVO LIMON 12/750ML;S005;Detergente Trastes L;C;CEDIS;Sandra; $1.374,94 ; $791,36 ;42;21;25
ACCO0003;ACEITE VEGETAL123 24/500ML;S005;Aceite Liq. Comestib;C;CEDIS;Sandra; $974,50 ; $1.125,00 ;41;45;26
ALMA0019;SOBRE PEDIGREE ADULTO POLLO 12/100G;S005;Alimento para perro;C;CEDIS;Sandra; $441,86 ; $614,30 ;41;57;11
CARN0372;LOMO BISTEC DE CERDO 800G;S005;Carne de Cerdo;B;CEDIS;Alma; $4.448,50 ; $5.577,60 ;41;50;3
CERV0076;CERVEZA CLARA PACIFICO 24/355ML;S005;Cerveza No retornabl;C;PdC;Santiago; $718,12 ; $1.104,31 ;41;61;0
CODE0041;PAN DULCE BFR MANTECADA 75/52G;S005;Pan Dulce;N;NoClas;Santiago; $379,66 ; $-   ;41;0;54
CUBU0088;CEPILLO DENTAL COLGATE PRE CLEAN 8/6/1P;S005;Cepillos Dentales;D;CEDIS;Sandra; $512,50 ; $381,11 ;41;34;21
DEPO0163;DETERGENTE POLVO CARISMA 20/500G;S005;Detergente Ropa en P;C;CEDIS;Sandra; $900,28 ; $-   ;41;0;17
FRIT0074;BOTANAS SABRITAS DORITOS NACHO 146G;S005;Maíz Frito;B;PdC;Santiago; $1.613,35 ; $819,95 ;41;23;3
GASA0007;GALLETA GAMESA CRAKETS 139G;S005;Galleta Salada;C;PdC;Santiago; $736,00 ; $533,22 ;41;36;122
JUNE0056;JUGO JUMEX DURAZNO NECTAR 24/250ML;S005;Jugo y Nec Infantil;D;CEDIS;Sandra; $451,00 ; $374,00 ;41;34;19
LIMP0153;LIMPIADOR POETT LAVANDA 12/900ML;S005;Limpiadores Multiuso;D;CEDIS;Sandra; $724,35 ; $1.099,47 ;41;75;53
PORE0013;FLAN YOPLAIT CASERO 220 G;S005;Flan;D;PdC;Santiago; $779,00 ; $486,00 ;41;27;26
REFR0029;JUGO TOMATE CLAMATO CON ALMEJA 12/946ML;S005;Jugo Tomate Almeja F;C;PdC;Santiago; $1.599,00 ; $1.820,00 ;41;52;7
SERV0026;SERVILLETAS PETALO 12/420 PZ;S005;Servilletas;B;CEDIS;Sandra; $1.820,39 ; $887,04 ;41;21;5
TOSTO0035;TOSTADAS SANISSIMO SALMAS HORNEADAS 144G;S005;Tostada;C;PdC;Santiago; $1.271,00 ; $150,00 ;41;6;37
FRVE0039;KIWI KG;S005;Frutas;C;CEDIS;Sebastián; $4.820,06 ; $1.584,48 ;41;13;9,715
ACCO0029;ACEITE VEGETAL CRISTAL 8/1.5LT;S005;Aceite Liq. Comestib;B;CEDIS;Sandra; $2.558,08 ; $5.328,00 ;40;74;17
ADCO0093;SAL LA FINA BOLSA 20/1KG;S005;Sal;C;CEDIS;Sandra; $799,40 ; $532,00 ;40;28;7
ALMA0078;CROQUETA PARA PERRO CHOP CACHORRO 10/1KG;S005;Alimento para perro;N;NoClas;Alma; $1.534,40 ; $-   ;40;0;21
CAFR0010;TOCINO CORONA 250G;S005;Tocino;B;CEDIS;Alma; $3.160,00 ; $2.304,00 ;40;32;21
CARN0312;HIGADO PICADO DE RES 800G;S005;Carne de Res;B;CEDIS;Alma; $2.236,00 ; $3.440,00 ;40;80;7
CARN0360;CABEZA SIN PAPADA PARTIDA CERDO 800G;S005;Carne de Cerdo;B;PdC;Alma; $1.389,54 ; $957,00 ;40;33;14
CARN0407;CHORIZO SABRO POLLO 600G;S005;Carne de Pollo;B;PdC;Alma; $2.979,20 ; $3.223,20 ;40;43;5
CASE0040;CACAHUATE KAKANG FLAMING HOT 72G;S005;Cacahuate;C;PdC;Santiago; $629,14 ; $844,24 ;40;57;31
CATE0014;CAFE OLE CAPUCCINO 12/281ML;S005;Bebidas Procesadas;C;PdC;Alma; $1.440,00 ; $990,00 ;40;30;29
DEPO0081;DETERGENTE POLVO ROMA MULTIUSOS 10/1KG;S005;Detergente Ropa en P;C;CEDIS;Sandra; $1.520,65 ; $1.335,24 ;40;38;21
DESE0067;CUCHARA FANTASY GREEN MEDIANA 40/25PZ;S005;Cubiertos desechable;C;CEDIS;Sandra; $482,80 ; $289,68 ;40;24;38
FRVE0126;ENSALADA MR. LUCKY CESAR 12/284G;S005;Verduras;C;CEDIS;Sebastián; $1.471,00 ; $1.206,00 ;40;39;5
JUNE0068;JUGO JUMEX MANZANA LATA 24/355ML;S005;Jugo y Nec Personal;C;CEDIS;Sandra; $540,00 ; $526,50 ;40;39;16
LADE0048;QUESO FRESCO MACIAS MEDIANO 370G;S005;Quesos;B;PdC;Santiago; $3.080,00 ; $2.030,00 ;40;29;27
TOST0005;TOSTADA EL CHARRO CHICA 20PZ;S005;Tostada;C;PdC;Santiago; $800,00 ; $494,00 ;40;26;12
HACO0021;HARINA A GRANEL KG;S005;Harinas Regulares;C;CEDIS;Sandra; $833,72 ; $1.400,93 ;40;67;13,19
ADCO0110;VINAGRE BLANCO LA COSTEÑA 12/1.05LT;S005;Vinagre;C;CEDIS;Sandra; $624,00 ; $600,00 ;39;40;22
BERN0041;JUGO DEL VALLE FRUIT CITRUS PUNCH 6/1LT;S005;Jugo y Nec Familiar;C;PdC;Santiago; $858,00 ; $336,00 ;39;16;0
CARN0337;LOMO BISTEC DE CERDO 300G;S005;Carne de Cerdo;B;CEDIS;Alma; $1.776,60 ; $4.488,00 ;39;102;7
CERV0004;BEBIDA ARIZONA FRUT PUNCH 24/695ML;S005;Te LPB Personal;C;CEDIS;Sandra; $780,00 ; $700,00 ;39;35;27
DESE0071;COSTAL EN ROLLO MACKPACK 20/10PZ;S005;Platos desechables;C;CEDIS;Sandra; $1.175,73 ; $-   ;39;0;14
FRVE0167;FLORETES DE BROCOLI MR. LUCKY 18/454G;S005;Verduras;C;CEDIS;Sebastián; $1.418,50 ; $1.620,00 ;39;36;13
